Código|Descrição
693|Rejeição: Grupo Documentos Transportados deve ser informado para tipo de serviço diferente de redespacho intermediário e serviço vinculado a multimodal

694|Rejeição: Grupo Documentos Transportados não pode ser informado para tipo de serviço redespacho intermediário e serviço vinculado a multimodal

695|Rejeição: CT-e com emissão anterior ao evento prévio (EPEC)

696|Rejeição:Existe EPEC aguardando CT-e nessa faixa de numeração

697|Rejeição: Data de emissão do CT-e deve ser igual a data de autorização da EPEC

698|Rejeição: Evento Prévio autorizado há mais de 7 dias (168 horas)

699|Rejeição: CNPJ autorizado para download inválido

700|Rejeição: CPF autorizado para download inválido

998|Rejeição: CT-e Multimodal e Serviço Vinculado a Multimodal não estão liberados no ambiente de produção. *** Regra provisória

999|Rejeição: Erro não catalogado (informar a mensagem de erro capturado no tratamento da exceção)
